ID,Wahlbeteiligung,CDU,LINKE,SPD,Gruen,AfD,FDP,PMUT,FW,MLPD,Volt
08416,0.718832891,0.235969388,0.034438776,0.311224490,0.088010204,0.110969388,0.099489796,0.039540816,0.010204082,0.000000000,0.008928571
08417,0.667610954,0.242380261,0.071117562,0.359941945,0.069666183,0.095791001,0.055152395,0.021770682,0.007256894,0.000000000,0.005805515
08418,0.672253259,0.294617564,0.049575071,0.325779037,0.076487252,0.097733711,0.062322946,0.025495751,0.002832861,0.000000000,0.001416431
08419,0.642681930,0.256274769,0.036988111,0.330250991,0.068692206,0.109643329,0.089828269,0.040951123,0.010568032,0.000000000,0.001321004
08420,0.643323996,0.230312036,0.047548291,0.338781575,0.072808321,0.114413076,0.089153046,0.035661218,0.005943536,0.000000000,0.000000000
08421,0.468330080,0.167591475,0.103936454,0.309795054,0.064025578,0.107404487,0.076424981,0.019539749,0.009373189,0.000000000,0.003653311
08422,0.598540146,0.203821656,0.058917197,0.353503185,0.066878981,0.127388535,0.073248408,0.033439490,0.006369427,0.000000000,0.001592357
08423,0.680220709,0.221679883,0.062914571,0.342402133,0.060240920,0.136312475,0.063409961,0.021462057,0.007073882,0.000000000,0.005121462
08424,0.617263876,0.200949867,0.046741665,0.355029940,0.051072444,0.138926616,0.062569937,0.034176426,0.018194398,0.000000000,0.001751104
08425,0.561549236,0.219291041,0.059446762,0.301808535,0.073803344,0.134128914,0.081269096,0.051323959,0.009445120,0.000000000,0.001683695
08426,0.620525838,0.273807947,0.046232730,0.251318876,0.087575684,0.134677275,0.101699538,0.019395460,0.009725004,0.000000000,0.002933865
08427,0.635188867,0.304838710,0.022580645,0.308064516,0.075806452,0.095161290,0.080645161,0.046774194,0.004838710,0.000000000,0.003225806
08428,0.656308851,0.218424963,0.047548291,0.361069837,0.052005944,0.121842496,0.087667162,0.040118871,0.005943536,0.000000000,0.004457652
08429,0.637334733,0.243233751,0.035294602,0.332756428,0.047169155,0.152685933,0.066580394,0.035661627,0.008602960,0.000000000,0.000772020
08430,0.698348811,0.288659221,0.033602207,0.366688076,0.058707240,0.079063198,0.062649973,0.039741526,0.005363563,0.000000000,0.002552489
08431,0.527231104,0.185571911,0.058689309,0.311684097,0.089496115,0.150654034,0.079211881,0.022076517,0.014214995,0.000000000,0.003930761
08501,0.598389982,0.213960546,0.071320182,0.244309560,0.189681335,0.092564492,0.063732929,0.024279211,0.006069803,0.001517451,0.001517451
08502,0.738581147,0.162853297,0.103633917,0.257065949,0.205921938,0.074024226,0.092866756,0.032301480,0.006729475,0.000000000,0.002691790
08503,0.839201878,0.145685997,0.067892504,0.281471004,0.275813296,0.086280057,0.070721358,0.022630835,0.005657709,0.000000000,0.004243281
08504,0.819548872,0.162450067,0.063914780,0.310252996,0.272969374,0.058588549,0.055925433,0.026631158,0.002663116,0.000000000,0.005326232
08505,0.759277834,0.198924731,0.040322581,0.330645161,0.162634409,0.067204301,0.094086022,0.026881720,0.010752688,0.001344086,0.004032258
08506,0.784437434,0.150610583,0.075983718,0.295793758,0.217096336,0.080054274,0.082767978,0.039348711,0.005427408,0.001356852,0.008141113
08507,0.684712638,0.204100284,0.048335402,0.302273732,0.110849217,0.117444273,0.084373353,0.050020829,0.007400575,0.002979783,0.005190179
08508,0.615868028,0.170827858,0.065703022,0.331143233,0.090670171,0.106438896,0.090670171,0.051248357,0.009198423,0.000000000,0.006570302
08509,0.860269360,0.248770895,0.033431662,0.276302852,0.187807276,0.047197640,0.146509341,0.016715831,0.005899705,0.001966568,0.005899705
08510,0.792284866,0.263224181,0.034005038,0.243073048,0.161209068,0.070528967,0.142317380,0.021410579,0.008816121,0.000000000,0.005037783
08511,0.705942623,0.251470588,0.051470588,0.269117647,0.101470588,0.129411765,0.094117647,0.029411765,0.010294118,0.000000000,0.000000000
08512,0.721854796,0.229469125,0.051603799,0.305185272,0.101124080,0.092294123,0.103556483,0.045927538,0.012410941,0.000000000,0.003457502
08513,0.712632594,0.261474270,0.023643950,0.311543811,0.083449235,0.107093185,0.109874826,0.022253129,0.016689847,0.000000000,0.000000000
08514,0.858731924,0.275590551,0.026246719,0.254593176,0.123359580,0.097112861,0.120734908,0.026246719,0.007874016,0.000000000,0.002624672
08515,0.831045407,0.245136187,0.038910506,0.252918288,0.137483787,0.097276265,0.149156939,0.024643320,0.006485084,0.000000000,0.005188067
08516,0.648153473,0.210138468,0.061519310,0.278289201,0.089182253,0.120072538,0.082497042,0.053873580,0.028969248,0.000000000,0.002228404
08517,0.720832869,0.295150453,0.044243084,0.233058977,0.077149240,0.113178243,0.102555584,0.037631953,0.021577535,0.000000000,0.007508119
08518,0.799559471,0.237026648,0.029453015,0.311360449,0.096774194,0.123422160,0.115007013,0.025245442,0.005610098,0.000000000,0.004207574
08519,0.783333333,0.279693487,0.043422733,0.302681992,0.089399745,0.091954023,0.127713921,0.019157088,0.008939974,0.000000000,0.002554278
08520,0.824894515,0.291828794,0.022049287,0.276264591,0.107652399,0.101167315,0.133592737,0.015564202,0.007782101,0.000000000,0.000000000
08521,0.843179377,0.324324324,0.011583012,0.268983269,0.111969112,0.074646075,0.133848134,0.009009009,0.015444015,0.000000000,0.003861004
08522,0.799570694,0.267005991,0.029126618,0.277590947,0.133571163,0.090981390,0.106538814,0.038348217,0.005680656,0.000000000,0.002840328
08523,0.778234086,0.265415550,0.032171582,0.296246649,0.097855228,0.093833780,0.126005362,0.022788204,0.012064343,0.000000000,0.000000000
08524,0.662508305,0.231493470,0.047657899,0.291413183,0.097163347,0.123428105,0.077464039,0.041373276,0.004771111,0.000000000,0.007310382
08525,0.678328560,0.249331626,0.037470434,0.272835862,0.086461797,0.121978980,0.122930412,0.022040037,0.011932920,0.000000000,0.006043523
08526,0.780962129,0.302139037,0.030748663,0.260695187,0.090909091,0.110962567,0.097593583,0.034759358,0.013368984,0.000000000,0.002673797
08527,0.685284551,0.273975649,0.030676917,0.325588322,0.085402950,0.095719925,0.101803684,0.034445512,0.005988452,0.001493142,0.001501084
08528,0.754535752,0.278901734,0.040462428,0.290462428,0.092485549,0.104046243,0.091040462,0.034682081,0.005780347,0.001445087,0.000000000
08529,0.703615388,0.256465841,0.042004296,0.260181128,0.079085347,0.127220847,0.103864813,0.042924956,0.008259822,0.001482197,0.003813230
08530,0.726866952,0.269160638,0.044858871,0.232974087,0.083528522,0.131522770,0.112606736,0.025305384,0.010814457,0.000000000,0.005766722
08531,0.562393281,0.268550040,0.051389047,0.306259251,0.072589093,0.104998292,0.086621883,0.029884436,0.018273938,0.000000000,0.002271433
08532,0.718220339,0.262048193,0.036144578,0.292168675,0.084337349,0.109939759,0.125000000,0.031626506,0.012048193,0.000000000,0.001506024
08533,0.728438228,0.208881579,0.075657895,0.277960526,0.108552632,0.101973684,0.111842105,0.008223684,0.016447368,0.001644737,0.004934211
08534,0.737681890,0.240693807,0.043592541,0.285565588,0.101147379,0.110532841,0.104871387,0.033741305,0.020244783,0.000000000,0.002210788
08601,0.810210877,0.327754533,0.032078103,0.264993026,0.093444909,0.104602510,0.114365411,0.013947001,0.006973501,0.000000000,0.006973501
08602,0.811173184,0.336134454,0.032212885,0.264705882,0.105042017,0.065826331,0.126050420,0.016806723,0.011204482,0.000000000,0.001400560
08603,0.802786710,0.256064690,0.025606469,0.278975741,0.110512129,0.102425876,0.126684636,0.025606469,0.008086253,0.000000000,0.004043127
08604,0.760358343,0.290611028,0.034277198,0.290611028,0.084947839,0.098360656,0.113263785,0.022354694,0.016393443,0.000000000,0.001490313
08605,0.802512621,0.256424052,0.039091493,0.293308471,0.104190994,0.101280836,0.131097729,0.034023171,0.007250940,0.000000000,0.004353010
08606,0.720111664,0.260101398,0.057847788,0.295461092,0.068698149,0.131126133,0.087201375,0.031638885,0.011584921,0.000000000,0.000000000
08607,0.779264214,0.282163743,0.027777778,0.290935673,0.074561404,0.134502924,0.097953216,0.040935673,0.017543860,0.000000000,0.004385965
08608,0.838779956,0.288770053,0.041443850,0.252673797,0.094919786,0.082887701,0.136363636,0.026737968,0.012032086,0.000000000,0.005347594
08609,0.613682093,0.176271186,0.055932203,0.306779661,0.091525424,0.142372881,0.100000000,0.037288136,0.011864407,0.000000000,0.003389831
08610,0.798002220,0.322489392,0.035360679,0.261669024,0.086280057,0.097595474,0.124469590,0.028288543,0.004243281,0.000000000,0.001414427
08611,0.763830388,0.244948432,0.048754403,0.289805958,0.106933499,0.103805303,0.120108016,0.036943459,0.006269760,0.000000000,0.006283128
08612,0.751445975,0.304040779,0.025991610,0.255588594,0.092921999,0.123320767,0.121860564,0.025142038,0.006876228,0.000000000,0.002309775
08613,0.682497031,0.249214378,0.038936941,0.281656840,0.081195942,0.144165445,0.096339748,0.048424266,0.011013677,0.000000000,0.004219914
08614,0.802464681,0.343407241,0.036433149,0.236014467,0.083991823,0.119471636,0.101014271,0.036914731,0.003882140,0.001454574,0.004373550
