ID;Wahlbeteil;displayValue
01209;0,829973641;0,688536358
01211;0,816771735;0,664352380
01210;0,854615502;0,733676675
01212;0,776219887;0,590067274
01213;0,828624424;0,686064788
01225;0,837143633;0,701670744
01222;0,741293854;0,526087844
01224;0,771973749;0,582288964
01223;0,7498;0,541669871
01221;0,795579702;0,625531648
01219;0,86207578;0,747342823
01220;0,786769173;0,609392036
01217;0,885657586;0,790541273
01218;0,79507249;0,624602509
01227;0,821292776;0,672634272
01228;0,822029282;0,673983444
01230;0,827170327;0,683401093
01226;0,850331387;0,725828798
01229;0,833946456;0,695813980
01300;0,773606263;0,585279493
01303;0,767014546;0,573204423
01304;0,748888803;0,540000690
01305;0,846184593;0,718232472
01316;0,851073517;0,727188272
01306;0,860754495;0,744922421
01317;0,848842748;0,723101827
01307;0,87081856;0,763358329
01308;0,886422999;0,791943399
01309;0,841240122;0,709174918
01310;0,860542824;0,744534670
01311;0,816342812;0,663566656
01312;0,847436739;0,720526222
01313;0,808082308;0,648434610
01314;0,78736674;0,610486692
01315;0,725627034;0,497388501
01318;0,816886851;0,664563256
01319;0,840401912;0,707639439
01321;0,809404766;0,650857161
01320;0,919240513;0,852060327
01323;0,797147029;0,628402764
01324;0,752243833;0,546146618
01322;0,819699562;0,669715735
01325;0,779484211;0,596047042
01326;0,730236819;0,505832959
01327;0,773999857;0,586000500
01330;0,820678086;0,671508249
01401;0,770833178;0,580199604
01402;0,718816325;0,484912269
01403;0,796592286;0,627386555
01405;0,751788273;0,545312098
01406;0,739749819;0,523259396
01407;0,768320219;0,575596227
01408;0,799359838;0,632456309
01409;0,823523558;0,676720741
01411;0,820304725;0,670824306
01410;0,85155415;0,728068722
01412;0,803108514;0,639323340
01413;0,837640989;0,702581828
01414;0,783556625;0,603507114
01404;0,811309885;0,654347063
01416;0,783974026;0,604271732
01415;0,766329436;0,571949401
01419;0,718551269;0,484426725
01418;0,790725999;0,616640368
01421;0,798794939;0,631421496
01423;0,744486251;0,531935853
01424;0,798580795;0,631029215
01427;0,774759405;0,587391882
01428;0,79848441;0,630852652
01500;0,753556097;0,548550496
01501;0,742310766;0,527950680
01503;0,773369654;0,584846060
01502;0,654334725;0,366791326
01505;0,715009699;0,477939082
01504;0,761193802;0,562541664
01506;0,76967033;0,578069435
01508;0,827154618;0,683372317
01509;0,712737421;0,473776599
01521;0,69179901;0,435420465
01522;0,712783669;0,473861318
01528;0,666613813;0,389284835
01512;0,741228228;0,525967627
01511;0,754156961;0,549651191
01510;0,72223641;0,491177369
01515;0,702499963;0,455023060
01520;0,748088929;0,538535436
