ID,Wahlbeteiligung,SPD,Gruen,CDU,LINKE,AfD,FDP,PMUT,FW,Volt,MLPD,BSW
07717,0.881251086,0.176669990,0.141734796,0.339541376,0.091884347,0.128733799,0.051485543,0.014915254,0.001874377,0.003310070,0.000000000,0.039680957
07721,0.881415487,0.143707030,0.145667513,0.355958694,0.064232927,0.170828553,0.051873752,0.010290278,0.004083587,0.007159829,0.000000000,0.039991146
07703,0.811449710,0.155804451,0.115622464,0.353567289,0.075567984,0.149150922,0.057888026,0.026263475,0.002912368,0.007783702,0.000000000,0.044975078
07709,0.819434379,0.170679408,0.074307183,0.314603518,0.070107698,0.222349235,0.039066841,0.020453804,0.006242601,0.006875317,0.001121977,0.059491954
07711,0.886582380,0.177346341,0.128996393,0.329328065,0.074305583,0.150236758,0.055208097,0.017478916,0.003096700,0.005513437,0.000000000,0.046265586
07712,0.843176803,0.168273099,0.086428398,0.345853871,0.092657093,0.173178122,0.049237270,0.017236521,0.004994946,0.005160405,0.000000000,0.048279285
07723,0.786588185,0.148834104,0.098538891,0.300928687,0.116453202,0.194057463,0.033447375,0.025267687,0.004868329,0.001850047,0.000000000,0.059006104
07724,0.746691810,0.174160897,0.077466680,0.281668911,0.091658341,0.234069648,0.036422171,0.025699196,0.002311169,0.000554603,0.000000000,0.053755940
07725,0.681643299,0.153561619,0.069166237,0.292189787,0.142077925,0.202347323,0.037036073,0.012313123,0.002302318,0.002802579,0.001301795,0.072190122
07722,0.740108611,0.185263158,0.065263158,0.242105263,0.131578947,0.231578947,0.026315789,0.031578947,0.003157895,0.012631579,0.000000000,0.063157895
07727,0.877984856,0.171342745,0.119278251,0.355412837,0.071801769,0.144557559,0.056472649,0.014971642,0.005639222,0.013482521,0.000000000,0.039713615
07728,0.772932885,0.172960402,0.092698116,0.316225406,0.069690588,0.217967572,0.039806946,0.022331682,0.008202968,0.006995073,0.000000000,0.042339081
07106,0.756340580,0.185096154,0.134615385,0.257211538,0.111778846,0.118990385,0.069711538,0.010817308,0.002403846,0.014423077,0.000000000,0.084134615
07103,0.770616063,0.153330606,0.187407720,0.166037067,0.227381997,0.121397120,0.028704921,0.011363413,0.003985397,0.015834407,0.000000000,0.075672235
07102,0.699056915,0.152442606,0.178787164,0.172377870,0.209069473,0.106992347,0.049025744,0.008814388,0.001416904,0.011071574,0.000000000,0.096848942
07110,0.776985704,0.175267991,0.236335924,0.124000151,0.258379835,0.060526283,0.034023203,0.011336869,0.002166602,0.008011387,0.001335231,0.068273143
07111,0.715132186,0.163871266,0.201482047,0.073467267,0.340764296,0.086080436,0.025013157,0.012408871,0.001181374,0.005711456,0.000000000,0.074655303
07105,0.793566561,0.161216455,0.232347377,0.080201014,0.302652915,0.073230903,0.036130630,0.004537785,0.005832469,0.010045214,0.000000000,0.070152148
07117,0.753165125,0.178218121,0.218000030,0.107202731,0.286387458,0.061213394,0.033242211,0.003292504,0.000000000,0.008578635,0.003594569,0.083097975
07115,0.780153978,0.171806167,0.231277533,0.242290749,0.131057269,0.091409692,0.057268722,0.014317181,0.002202643,0.013215859,0.000000000,0.039647577
07120,0.816638370,0.184759916,0.208768267,0.157620042,0.220250522,0.098121086,0.045929019,0.004175365,0.000000000,0.009394572,0.000000000,0.060542797
07124,0.871043866,0.176806797,0.331778749,0.115631727,0.220753702,0.045512361,0.040228948,0.009833018,0.000000000,0.006408584,0.000521819,0.047754550
07131,0.864535769,0.203194321,0.304347826,0.143744454,0.201419698,0.055900621,0.031943212,0.002661934,0.001774623,0.010647737,0.000000000,0.035492458
07121,0.806815121,0.158464004,0.253765856,0.164679277,0.228251786,0.088226925,0.040382801,0.007098890,0.004160489,0.007098890,0.000000000,0.031567597
07130,0.873552983,0.149284254,0.349693252,0.111451943,0.250511247,0.046012270,0.034764826,0.005112474,0.000000000,0.012269939,0.000000000,0.032719836
